#,"In the past 12 months, how often have you been exposed to loud sounds, even if they only lasted a short time?",On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),At work,While trying to focus (e.g. studying),When trying to sleep,Other,Have you ever noticed any symptoms after being exposed to loud sounds?,"Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,(Temporary) hearing loss or muffled hearing,Headache,Dizziness,Sleep problems,Fatigue,Other,What are you willing to pay for a *simple *pair of earplugs to help protect your hearing?,What are you willing to pay for earplugs *with* advanced technology to help protect your hearing?,"Before we get started, a quick explanation of the term *sound attenuation* (_geluidsdemping (NL)_) to avoid confusion.
ilpornajy1wrf5ilmjnq76sfftm3dmma,Weekly,On public transport or on a plane,In traffic,,At music concerts or festivals,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,When trying to sleep,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€250,Complete,Option 2,Option 1,Option 1,Sometimes,Disposable foam earplugs,Reusable  earplugs,Earmuffs,,,,,In traffic,,At music concerts or festivals,,,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,When trying to sleep,,,I do not like how it looks,I forget to bring it with me,,It is inconvenient,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,I don’t think I need to wear it all the time,Pressure in my ears,,,,,,,,,,,,,,,Option 1,Option 1,Option 2,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,,,,,,,,"Enhance specific sounds, sort of filtering",Option 1,Option 1,"C,B,A,D",Somewhat,Not at all,Somewhat,Very ,,,Get a hearing test,,,,,,,38,Financieel Directeur,Master’s degree,Male,Succes!,250.00,275.00,125.00,200.00,0.00,250.00,completed,2026-02-05 15:35:25,,2026-02-05 15:56:43,38b73a51c2,,
p9nw996jrbho6yycp9nw9ckin6moy8p2,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,At work,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€120,Complete,Option 3,Option 3,Option 3,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,I do not feel it is necessary,,I forget to bring it with me,,,It is uncomfortable,,,,,,Difficulty communicating,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 3,Option 3,Option 3,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 3,Option 3,"D,C,B,A",A lot,A little,Somewhat,Somewhat,Wear hearing protection more often,,Get a hearing test,,,,,,,26,begeleider behandeling,Vocational education (MBO),Male,demping en comfort zijn het belangrijkste,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-05 14:50:00,,2026-02-05 15:06:00,c9afec27af,,
tdf77pd2dzsn7uvve7zgeptdf77pv6tb,Weekly,On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,,Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),At work,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 2,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,,,At work (noise exposure),While trying to focus (e.g. studying),When trying to sleep,,I do not feel it is necessary,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 2,Option 3,Current risk of hearing damage,Automatic hearing screening,,,Better sound quality,,,,,,,,,Option 1,Option 1,"D,C,B,A",A lot,Somewhat,A lot,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,25,Medicine,Bachelor’s degree (HBO or WO),Male,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-02-05 13:03:20,,2026-02-05 13:21:17,0cbb2fd8bd,,
jgohfh3pc1a3p9xwjgoh0cbueujj7gjn,Multiple times a week,,In traffic,,At music concerts or festivals,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,,,,,,,,€30,€60,Complete,Option 1,Option 2,Option 2,Mostly,Disposable foam earplugs,Reusable  earplugs,Earmuffs,,,,,In traffic,,,,In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,,,I forget to bring it with me,,,,,,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 3,,,If my hearing protection reduced noise more effectively,,,More comfort,Easy to clean ('hygiene'),,,,,,,Option 1,Option 1,"C,D,A,B",Very ,Not at all,Somewhat,Somewhat,Wear hearing protection more often,,Get a hearing test,,,,,,,25,medical student,Bachelor’s degree (HBO or WO),Male,"oortjes in combinatie met helm moet comfortabel zitten en niet te veel schuiven (stevig zitten, niet eruit vallen)",60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-02-05 12:32:32,,2026-02-05 12:48:22,c9afec27af,,
rc5llkcevdtvjceibjrc5l7yu75cickg,Less than once a month,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),,In nightclubs or bars,,,,While trying to focus (e.g. studying),When trying to sleep,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,Sleep problems,,,€60,€150,Complete,Option 2,Option 1,Option 1,Mostly,,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,,,,At work (noise exposure),While trying to focus (e.g. studying),When trying to sleep,,,,,,,,,Not applicable — I always wear hearing protection,,,,Difficulty communicating,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 1,Option 1,Option 2,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,More comfort,,,,,,,,Option 3,Option 2,"C,A,D,B",Very ,Not at all,A lot,Very ,Wear hearing protection more often,,Get a hearing test,,,,,,,44,events manager,Master’s degree,Female,,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-02-05 12:05:33,,2026-02-05 12:19:27,c9afec27af,,
ccw5pzaly0pe8kccwanc0aiyhmir5kgj,Multiple times a week,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,At sporting events (e.g. motorsports or stadium events),,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,Sensitivity to sound,,,,,,,€30,€120,Complete,Option 2,Option 1,Option 1,Sometimes,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,I forget to bring it with me,,,,It makes communication more difficult,,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,Still being able to understand speech,Better sound quality,,,,Reminders via phone/app,,,,,Option 2,Option 1,"C,B,D,A",A lot,A lot,Somewhat,Somewhat,Wear hearing protection more often,,Get a hearing test,,,,,,,24,medical student,Bachelor’s degree (HBO or WO),Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-05 11:39:53,,2026-02-05 11:54:04,c9afec27af,,
2m8rha8516buhk9xrl2m8rha85mw8nxc,Multiple times a month,On public transport or on a plane,,,,,,In nightclubs or bars,,,At work,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€90,Complete,Option 2,Option 1,Option 1,Sometimes,,,,Noise-cancelling earplugs,,,,,,,,,,,At work (noise exposure),,,,I do not feel it is necessary,,,,,It is uncomfortable,It makes communication more difficult,,,,,,It is uncomfortable,,,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 2,,,,Still being able to understand speech,,More comfort,,,,,,More appealing design,,Option 2,Option 1,"C,D,A,B",A lot,A little,Somewhat,A lot,,Try to reduce my sound exposure (change my habits),,,,,,,,23,Solution engineer,Master’s degree,Female,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-05 10:49:13,,2026-02-05 10:59:39,c9afec27af,,
uxivsqacebvvv45xkwuxicny6ub710ry,Multiple times a month,,,,,,,,,,,,When trying to sleep,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€90,Complete,Option 2,Option 1,Option 2,Sometimes,,,Earmuffs,Noise-cancelling earplugs,,,On public transport or on a plane,In traffic,,,When playing music (instruments / band / orchestra / DJ),,,,At work (noise exposure),,,,,,I forget to bring it with me,,It is inconvenient,It is uncomfortable,,,,,,,,,,Pressure in my ears,,,,Headache,,,,,,,,,,,Option 2,Option 2,Option 1,,,If my hearing protection reduced noise more effectively,,,More comfort,,Feature that helps me find my earplug if I lose it,,,,,,Option 1,Option 1,"C,A,B,D",A lot,Somewhat,Somewhat,A lot,,,Get a hearing test,,,,,,,30,Engineer,Bachelor’s degree (HBO or WO),Female,Vacuum in ear is annoying,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-05 10:34:12,,2026-02-05 10:45:58,c9afec27af,,
pwr5pqfxd3puhtmwrpwrf62lkfrx0pkz,Weekly,,In traffic,,,,Listening to music,,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,,Sensitivity to sound,,Headache,,,,,€30,€60,Complete,Option 2,Option 2,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ik kom daar niet in aanraking mee,Option 1,Option 2,Option 2,,Automatic hearing screening,,,Better sound quality,,,,Reminders via phone/app,,,,,Option 1,Option 2,"C,D,B,A",Very ,A lot,Somewhat,Somewhat,,,Get a hearing test,,,,,,,20,Business IT & Management,High school diploma (VMBO / HAVO / VWO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-02-05 10:07:15,,2026-02-05 10:23:21,c9afec27af,,
edgsfv3q2t75hple9fazkedgsfv3ma3c,Multiple times a month,On public transport or on a plane,,At the cinema or theatre,,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),,,,Motor,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,Sensitivity to sound,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 1,Mostly,,Reusable  earplugs,Earmuffs,,,,,,,,,,"At sporting events (e.g. stadium events, motorsports)","When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,Motor,,,I forget to bring it with me,,,,,,,,,,,,,,,,Not applicable — I always wear hearing protection,,,,,,,,,,,,Option 2,Option 3,Option 3,,,,Still being able to understand speech,,,Easy to clean ('hygiene'),,Reminders via phone/app,,,,,Option 3,Option 1,"C,D,A,B",Very ,A little,Somewhat,Very ,,,Get a hearing test,,,,Turn off this notification,,,29,AI scientist,PhD / Doctorate or higher,Male,Calendar automatic check for possible loud events with reminder,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-02-05 09:19:37,,2026-02-05 09:39:42,c9afec27af,,
aere4lwpo5aszfxaere95shf8ezf5vf1,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,,,,,,,,,€30,€180,Complete,Option 3,Option 1,Option 2,Rarely,Disposable foam earplugs,,Earmuffs,,,,,,,,,,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,I do not feel it is necessary,,I forget to bring it with me,,It is inconvenient,It is uncomfortable,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 2,Option 3,Current risk of hearing damage,,,Still being able to understand speech,,More comfort,,,,,,,,Option 1,Option 1,"C,D,A,B",Very ,Somewhat,Somewhat,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,Check again later,,,,,24,Recruitment Advisor/ Business Studies Student,Bachelor’s degree (HBO or WO),Male,,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-02-02 14:50:57,,2026-02-02 15:04:45,b95547c4cc,,
2z93987h7j6itwg2x2z939w6gdncupr7,Multiple times a month,,,,,,Listening to music,,,,,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€150,Complete,Option 2,Option 1,Option 3,Rarely,Disposable foam earplugs,,,,,,,,,,,,,,,,,During Fireworks (carbid),,,,,,,,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 3,Option 1,Option 3,Current risk of hearing damage,,,Still being able to understand speech,,More comfort,,,,,,,,Option 3,Option 1,"C,D,B,A",A lot,Very ,A lot,A lot,,,Get a hearing test,,,,,,,46,ICT manager,PhD / Doctorate or higher,Male,Good luck,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-02-02 14:23:33,,2026-02-02 14:40:57,360f110cd1,,
40un8j8kbq7996u3c40un8dlu67ijm6l,Multiple times a week,,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,,,,,,,€30,€90,Complete,Option 2,Option 1,Option 3,Always,,Reusable  earplugs,,,,,,,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,"At sporting events (e.g. stadium events, motorsports)","When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,,,,,,,,Not applicable — I always wear hearing protection,,,,,It is uncomfortable,,,,,,,Soms sluiten ze niet goed af en moet ik ze even opnieuw indoen - pasvorm,,,,,,,,,,,Option 2,Option 3,Option 2,Current risk of hearing damage,Automatic hearing screening,If my hearing protection reduced noise more effectively,,,,,,,,,,,Option 3,Option 1,"C,D,B,A",Very ,A lot,A lot,Very ,,,Get a hearing test,,,,,,,46,communicatie medewerker,Bachelor’s degree (HBO or WO),Female,is er iets mogelijk tussen de standaard gehoorbescherming en het echt helemaal op maat laten maken? - zodat het toegankelijker en beter past,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-02 13:44:38,,2026-02-02 14:13:28,fa658e92b5,,
7g8d6nz6bn5xl9c7u7g8d6nkhb0bzdwy,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,Sensitivity to sound,,,,Sleep problems,,,€30,€150,Complete,Option 2,Option 1,Option 1,Mostly,,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",At work (noise exposure),While trying to focus (e.g. studying),,,,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 3,Option 3,Option 1,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,More comfort,,,,,,,,Option 2,Option 3,"C,D,B,A",A little,Somewhat,A little,Somewhat,Wear hearing protection more often,,Get a hearing test,,,,,,,44,Marketing and Communications Manager,Master’s degree,Female,,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-02-02 13:15:15,,2026-02-02 13:36:30,c9afec27af,,
7snxszrq27q0pj7snpra8md49k71trbs,Weekly,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,At work,,When trying to sleep,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€120,Complete,Option 2,Option 2,Option 1,Rarely,,,,,Custom-made earplugs,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,I forget to bring it with me,,,,,,,,,Difficulty communicating,,,I don’t think I need to wear it all the time,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 1,Option 1,"C,B,D,A",Very ,A little,A lot,A lot,,,,Do my own research on hearing loss,,,,,,27,team lead inside sales,Master’s degree,Male,no,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-02 11:39:51,,2026-02-02 11:49:57,fa658e92b5,,
gszfiama5ed7mtlo7gszfvz37y88e8gq,Weekly,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€90,Complete,Option 2,Option 2,Option 1,Sometimes,Disposable foam earplugs,Reusable  earplugs,,,Custom-made earplugs,,,,,,,In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",At work (noise exposure),,,,,,I forget to bring it with me,It affects sounds quality,,,It makes communication more difficult,,,,,Difficulty communicating,It is uncomfortable,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 3,Option 1,,,,Still being able to understand speech,Better sound quality,,Easy to clean ('hygiene'),,,,,,,Option 2,Option 1,"D,C,A,B",Very ,Somewhat,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,25,Marine Corps,Vocational education (MBO),Male,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-02 10:03:45,,2026-02-02 10:14:11,fa658e92b5,,
1pid2ojbgx276mq331pid26wlrez58t5,Weekly,,In traffic,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€120,Complete,Option 2,Option 1,Option 3,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not own hearing protection,,,,,,,ik ben er niet bewust mee bezig,Option 2,Option 3,Option 2,Current risk of hearing damage,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,,,,,,,,,Option 3,Option 3,"C,A,B,D",Very ,Very ,Somewhat,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,Do my own research on hearing loss,,,,,,27,build environment,Other,Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-02 09:42:38,,2026-02-02 10:02:20,fa658e92b5,,
xhkdp8rq64wp6g178ywxxhkdp8fnfjbo,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)",,,,,,,,Sleep problems,,nadreunen van muziek,€30,€150,Complete,Option 2,Option 1,Option 3,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,,,,,,,Eerst ervaren hoe luid de muziek staat en dan in doen,,,Difficulty communicating,It is uncomfortable,,,,,,,Ik voel me opgesloten omdat al het geluid om je heen gedempt wordt,,,,,,,,,,,Option 2,Option 3,Option 3,Current risk of hearing damage,,,Still being able to understand speech,,More comfort,,,,,,,,Option 3,Option 1,"C,B,A,D",A lot,Very ,Very ,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,Check again later,,,,,25,med student,Bachelor’s degree (HBO or WO),Female,oplaadbaar hoesje - makkelijk mee te nemen - en open te maken,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-02-02 09:13:02,,2026-02-02 09:33:00,fa658e92b5,,
1zckfj6ed8abp9hi1zckx7krjzlgyp6p,Less than once a month,On public transport or on a plane,,,At music concerts or festivals,,,In nightclubs or bars,,,,,When trying to sleep,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€30,Complete,Option 3,Option 2,Option 1,Rarely,,Reusable  earplugs,,,,,On public transport or on a plane,,,,,,,,,,When trying to sleep,construction outside,,,,,,It is uncomfortable,,,,Appearance,,,It is uncomfortable,,I don’t think I need to wear it all the time,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 3,Option 3,Option 3,,,,Still being able to understand speech,,More comfort,,,,,,More appealing design,,Option 3,Option 1,"B,A,C,D",A little,Somewhat,A lot,A lot,,Try to reduce my sound exposure (change my habits),,Do my own research on hearing loss,,Ignore this notification,,,,21,communication and multi media design,Other,Female,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-30 15:35:14,,2026-01-30 15:56:37,77c98652f8,,
831601j4l3fos58qw83161zypa2c0sng,Multiple times a month,,,,,,,In nightclubs or bars,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€30,Complete,Option 2,Option 1,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I forget to bring it with me,,,,,,ik kom niet op gelegenheden waar de muziek zo luid staat,Option 1,Option 2,Option 2,,,If my hearing protection reduced noise more effectively,,Better sound quality,More comfort,,,,,,,,Option 1,Option 1,"C,D,A,B",Very ,Somewhat,A lot,Very ,,,Get a hearing test,,,,,,,24,change management consultant,Master’s degree,Male,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-30 15:15:57,,2026-01-30 15:31:13,77c98652f8,,
34iwnn6uy13jtjndo934iwnngpckceyr,Less than once a month,,,,At music concerts or festivals,,,,,,At work,,,in de stad,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€30,Complete,Option 2,Option 1,Option 1,Always,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,At work (noise exposure),,,in de stad - bij lawaai,,,,,,,,,er is maar een korte blootstelling,,,,,,,,,,Not applicable — I always wear hearing protection,,,,,,,,,,,,Option 2,Option 3,Option 2,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 3,Option 1,"C,A,B,D",Very ,A little,Not at all,Somewhat,,,,,,Ignore this notification,,,,27,consultant,Master’s degree,Female,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-30 14:58:00,,2026-01-30 15:14:58,77c98652f8,,
ycg8gumpsnh5rovmycg8gspf3g8j5dv9,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,drukke plekken,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not own hearing protection,,,,,,,ik kom te weinig in aanraking met luid geluid en vindt het dan te duur,Option 2,Option 3,Option 1,Current risk of hearing damage,,,,,,,,Reminders via phone/app,Peer pressure to wear hearing protection,,,,Option 1,Option 1,"C,D,A,B",Very ,Very ,Very ,Somewhat,,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,reconsider going to some places,28,ux designer,Bachelor’s degree (HBO or WO),Female,"meer aanbod op plekken van blootstelling of warnings, kopen",60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-30 14:41:37,,2026-01-30 14:56:19,77c98652f8,,
7mgecninnbcxsmox7mgecdrb6jk3ut9v,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€30,Complete,Option 2,Option 2,Option 1,Always,,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,In nightclubs or bars,,,At work (noise exposure),While trying to focus (e.g. studying),,,,,,,,,,Not applicable — I always wear hearing protection,,,,Difficulty communicating,,,,,,,,to check the difference in sound quality,,,,,,,,,,,Option 2,Option 1,Option 1,,,,,Better sound quality,,,,,,,More appealing design,makkelijk mee te nemen,Option 2,Option 1,"C,D,A,B",Very ,Not at all,Not at all,Very ,,,,Do my own research on hearing loss,Check again later,,,,,37,UX designer,Bachelor’s degree (HBO or WO),Male,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-30 14:18:52,,2026-01-30 14:39:52,77c98652f8,,
a922a54mfhc198pwzbhcfwa922a54moy,Multiple times a month,On public transport or on a plane,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,At work,,,op straat constructie,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€150,Complete,Option 2,Option 1,Option 2,Sometimes,Disposable foam earplugs,Reusable  earplugs,,,,,,,,At music concerts or festivals,,,,,,,,construction,,,,It affects sounds quality,,It is uncomfortable,,,,,,,It is uncomfortable,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,,Better sound quality,,Easy to clean ('hygiene'),,,,,,gesprekken opnemen en muziek luisteren,Option 1,Option 1,"D,C,B,A",Very ,Very ,Somewhat,Very ,,,,,,Ignore this notification,,,,33,consultant,Bachelor’s degree (HBO or WO),Male,,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-30 14:06:05,,2026-01-30 14:17:28,77c98652f8,,
tnce53b16b4yoltnzur21qupat3iwnu0,Less than once a month,On public transport or on a plane,,,,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,,,,Headache,,,,,€30,€30,Complete,Option 1,Option 2,Option 2,Rarely,Disposable foam earplugs,,,,,,On public transport or on a plane,,,,,,,,,,When trying to sleep,,I do not feel it is necessary,,,It affects sounds quality,,It is uncomfortable,It makes communication more difficult,,i enjoy the loudness of the music,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,Hygiene concerns,,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,,,More comfort,Easy to clean ('hygiene'),Feature that helps me find my earplug if I lose it,,,,,,Option 1,Option 1,"C,B,D,A",Very ,Not at all,A little,Very ,,,Get a hearing test,Do my own research on hearing loss,,,,,,33,recruiter,Master’s degree,Female,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-30 13:48:54,,2026-01-30 14:02:36,77c98652f8,,
